target_step_seconds,cell_i0,cell_i1,alpha,stage,variable,target_value,scale,weight
648000,13,14,0,1,Sal,14.275,20.496,0.0119047619
648000,79,80,0,1,Sal,0.03,20.496,0.0119047619
864000,23,24,0,1,Sal,1.7,20.496,0.0119047619
1065600,58,59,0,1,Sal,0.04,20.496,0.0119047619
1094400,36,37,0,1,Sal,0.613333,20.496,0.0119047619
1209600,1,1,0,1,Sal,25.2,20.496,0.0119047619
1209600,45,46,0,1,Sal,0.065,20.496,0.0119047619
3628800,1,1,0,1,Sal,24.7,20.496,0.0119047619
3628800,45,46,0,1,Sal,1,20.496,0.0119047619
3715200,58,59,0,1,Sal,0.035,20.496,0.0119047619
3758400,36,37,0,1,Sal,1.4775,20.496,0.0119047619
3888000,23,24,0,1,Sal,3.15,20.496,0.0119047619
4233600,13,14,0,1,Sal,14.3675,20.496,0.0119047619
4233600,79,80,0,1,Sal,0.03,20.496,0.0119047619
6350400,23,24,0,1,Sal,4,20.496,0.0119047619
6825600,13,14,0,1,Sal,15.855,20.496,0.0119047619
6825600,79,80,0,1,Sal,0.03,20.496,0.0119047619
6847200,36,37,0,1,Sal,1.8625,20.496,0.0119047619
6847200,58,59,0,1,Sal,0.055,20.496,0.0119047619
7344000,1,1,0,1,Sal,26.75,20.496,0.0119047619
7344000,45,46,0,1,Sal,1.675,20.496,0.0119047619
9244800,23,24,0,1,Sal,2.05,20.496,0.0119047619
9417600,13,14,0,1,Sal,10.7675,20.496,0.0119047619
9417600,79,80,0,1,Sal,0.03,20.496,0.0119047619
9655200,36,37,0,1,Sal,0.8675,20.496,0.0119047619
9655200,58,59,0,1,Sal,0.04,20.496,0.0119047619
10108800,1,1,0,1,Sal,21.82,20.496,0.0119047619
10108800,45,46,0,1,Sal,0.495,20.496,0.0119047619
11577600,23,24,0,1,Sal,0.5,20.496,0.0119047619
12182400,13,14,0,1,Sal,5.755,20.496,0.0119047619
12182400,36,37,0,1,Sal,0.125,20.496,0.0119047619
12182400,79,80,0,1,Sal,0.03,20.496,0.0119047619
12225600,58,59,0,1,Sal,0.025,20.496,0.0119047619
12787200,1,1,0,1,Sal,21,20.496,0.0119047619
12787200,45,46,0,1,Sal,0.105,20.496,0.0119047619
13996800,23,24,0,1,Sal,0.15,20.496,0.0119047619
14601600,13,14,0,1,Sal,5.425,20.496,0.0119047619
14601600,36,37,0,1,Sal,0.14,20.496,0.0119047619
14601600,79,80,0,1,Sal,0.03,20.496,0.0119047619
14644800,58,59,0,1,Sal,0.02,20.496,0.0119047619
15206400,1,1,0,1,Sal,20.625,20.496,0.0119047619
15206400,45,46,0,1,Sal,0.05,20.496,0.0119047619
16588800,23,24,0,1,Sal,0.25,20.496,0.0119047619
17107200,13,14,0,1,Sal,5.8125,20.496,0.0119047619
17107200,58,59,0,1,Sal,0.025,20.496,0.0119047619
17107200,79,80,0,1,Sal,0.0325,20.496,0.0119047619
17150400,36,37,0,1,Sal,0.125,20.496,0.0119047619
17712000,1,1,0,1,Sal,21.695,20.496,0.0119047619
17712000,45,46,0,1,Sal,0.08,20.496,0.0119047619
19612800,23,24,0,1,Sal,0.166667,20.496,0.0119047619
19699200,13,14,0,1,Sal,3.055,20.496,0.0119047619
19699200,79,80,0,1,Sal,0.03,20.496,0.0119047619
19889280,36,37,0,1,Sal,0.3,20.496,0.0119047619
